Test Duration,24-JUL-2020 13:50 - 14:50, Diff Values,Stats (metrics) Summary
SubmitOrder response time (ms),NaN,submitOrder is N/A to calculate,Cannot calculate diff
Proceed_CheckOut response time (ms),NaN,checkOut is N/A to calculate,Cannot calculate diff
StoresSearch response time (ms),NaN,storeSearch is N/A to calculate,Cannot calculate diff
Order Cancel response time (ms),NaN,orderCancel is N/A to calculate,Cannot calculate diff
Tip Adjust response time (ms),NaN,tipAdjust is N/A to calculate,Cannot calculate diff
create-account (Registration) response time (ms),NaN,createAccount is N/A to calculate,Cannot calculate diff
sign-in response time (ms),NaN,signIn is N/A to calculate,Cannot calculate diff
menu response time (ms),NaN,menu is N/A to calculate,Cannot calculate diff
view-cart response time (ms),NaN,viewCart is N/A to calculate,Cannot calculate diff
RWD CPU (%),NaN,rwdAvgCPU is N/A to calculate,Cannot calculate diff
POBS CPU (%),NaN,pobsAvgCPU is N/A to calculate,Cannot calculate diff
POBSWSOLO CPU (%),NaN,pobswsoloAvgCPU is N/A to calculate,Cannot calculate diff
RWD I/O (KB/sec),NaN,rwdIOs is N/A to calculate,Cannot calculate diff
POBS I/O (KB/sec),NaN,pobsIOs is N/A to calculate,Cannot calculate diff
POBSWSOLO I/O (KB/sec),NaN,pobswsoloIOs is N/A to calculate,Cannot calculate diff
RWD JVM Heap usage (%) of 30 GB,NaN,rwdHeap is N/A to calculate,Cannot calculate diff
RWD minor GCs per min (per node),NaN,rwdMinor is N/A to calculate,Cannot calculate diff
RWD major GCs (total duration & nodes = 9),NaN,rwdMajor is N/A to calculate,Cannot calculate diff
RWD GC time per min (per node in ms),NaN,rwdGCTime is N/A to calculate,Cannot calculate diff
RWD GC Overhead (%),NaN,rwdGCTimePerc is N/A to calculate,Cannot calculate diff
POBS JVM Heap usage (%) of 16 GB,NaN,pobsHeap is N/A to calculate,Cannot calculate diff
POBS minor GCs per min (per node),NaN,pobsMinor is N/A to calculate,Cannot calculate diff
POBS major GCs (total duration & nodes = 14),NaN,pobsMajor is N/A to calculate,Cannot calculate diff
POBS GC time per min (per node in ms),NaN,pobsGCTime is N/A to calculate,Cannot calculate diff
POBS GC Overhead (%),NaN,pobsGCTimePerc is N/A to calculate,Cannot calculate diff
POBSWSOLO JVM Heap usage (%) of 8 GB,NaN,pobswsoloHeap is N/A to calculate,Cannot calculate diff
POBSWSOLO minor GCs per min (per node),NaN,pobswsoloMinor is N/A to calculate,Cannot calculate diff
POBSWSOLO major GCs (total duration & nodes = 2),NaN,pobswsoloMajor is N/A to calculate,Cannot calculate diff
POBSWSOLO GC time per min (per node in ms),NaN,pobswsoloGCTime is N/A to calculate,Cannot calculate diff
POBSWSOLO GC Overhead (%),NaN,pobswsoloGCTimePerc is N/A to calculate,Cannot calculate diff
RWD Busy threads (Pool = 2500 - 4000),NaN,rwdBusy is N/A to calculate,Cannot calculate diff
POBS Busy threads (Pool = 300 - 1000),NaN,pobsBusy is N/A to calculate,Cannot calculate diff
POBSWSOLO Busy threads (Pool = 300 - 1000),NaN,pobswsoloBusy is N/A to calculate,Cannot calculate diff
POBS DB Connections Active (Min = 133 / Max = 133),NaN,pobsdbConnections is N/A to calculate,Cannot calculate diff
POBSWSOLO DB Connections Active (Min = 20 / Max = 20),NaN,pobswsolodbConnections is N/A to calculate,Cannot calculate diff
Loyalty JVM Heap usage (%) of 1 GB,NaN,loyaltyHeap is N/A to calculate,Cannot calculate diff
Loyalty minor GCs per min (per node),NaN,loyaltyMinor is N/A to calculate,Cannot calculate diff
Loyalty major GCs (total duration & nodes = 16),NaN,loyaltyMajor is N/A to calculate,Cannot calculate diff
Loyalty GC time per min (per node in ms),NaN,loyaltyGCTime is N/A to calculate,Cannot calculate diff
Loyalty GC Overhead (%),NaN,loyaltyGCTimePerc is N/A to calculate,Cannot calculate diff
Online - Calls per min,NaN,onCallMin is N/A to calculate,Cannot calculate diff
Online - Errors per min,NaN,onError is N/A to calculate,Cannot calculate diff
Online Error (%),NaN,onErrorPerc is N/A to calculate,Cannot calculate diff
Online avg response (ms),NaN,onResponse is N/A to calculate,Cannot calculate diff
Loyalty - Calls per min,NaN,loCallMin is N/A to calculate,Cannot calculate diff
Loyalty - Errors per min,NaN,loError is N/A to calculate,Cannot calculate diff
Loyalty Error (%),NaN,loErrorPerc is N/A to calculate,Cannot calculate diff
Loyalty avg response (ms),NaN,loResponse is N/A to calculate,Cannot calculate diff
Mapping - Calls per min,NaN,mapCallMin is N/A to calculate,Cannot calculate diff
Mapping - Errors per min,NaN,mapError is N/A to calculate,Cannot calculate diff
Mapping Error (%),NaN,mapErrorPerc is N/A to calculate,Cannot calculate diff
Mapping avg response (ms),NaN,mapResponse is N/A to calculate,Cannot calculate diff
Monetra response (ms),NaN,moResponse is N/A to calculate,Cannot calculate diff
ESX CPU (%),55% - 63%,ESX Delta N/A,ESX data not compared
